group;friendlyName;description;target;rights
BounteouslyUnsuppressedUnchasteness;BounteouslyUnsuppressedUnchasteness;Startles Cascara to the resrvoirs;BounteouslyUnsuppressedUnchastenessRESRVOIR;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
PompouslyDecuplePrincipalships;PompouslyDecuplePrincipalships;Slurps Likin to the territorys;PompouslyDecuplePrincipalshipsTERRITORY;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
HumorlesslyVastyGoslings;HumorlesslyVastyGoslings;Redissolves Ivanhoe to the safes;HumorlesslyVastyGoslingsSAFE;FIST,WRITE,RENAME
UndeniablyClinquantClines;UndeniablyClinquantClines;Languishes Pedometers to the banks;UndeniablyClinquantClinesBANK;OBSERVE,WRITE
IndolentlyKnowingBroilers;IndolentlyKnowingBroilers;Entails Vermeils to the containers;IndolentlyKnowingBroilersCONTAINER;OBSERVE,WRITE
FoolhardilyCaespitoseQuassias;FoolhardilyCaespitoseQuassias;Saves Genus Procnias to the lodgingss;FoolhardilyCaespitoseQuassiasLODGINGS;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
JaggedlyFundamentalismVerists;JaggedlyFundamentalismVerists;Juts Centropomidae to the apartmentss;JaggedlyFundamentalismVeristsAPARTMENTS;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE
CompetentlyShotBassariscusAstutus;CompetentlyShotBassariscusAstutus;Expels Pisciculturist to the burial chambers;CompetentlyShotBassariscusAstutusBURIAL CHAMBER;PUNCH,WRITE
FretfullyCecalGenyonemusLineatus;FretfullyCecalGenyonemusLineatus;Necrotises Founders to the resrvoirs;FretfullyCecalGenyonemusLineatusRESRVOIR;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST,LAUGH
CognitivelyThermolabileVicissitudes;CognitivelyThermolabileVicissitudes;Refuels Calycanthus to the storerooms;CognitivelyThermolabileVicissitudesSTOREROOM;FIST,WRITE,RENAME,STROKE,PUNCH
ExaltedlyMildAttorneys;ExaltedlyMildAttorneys;Lies Scholarship to the warehouses;ExaltedlyMildAttorneysWAREHOUSE;PUNCH
GrufflyFamilialCuniculus;GrufflyFamilialCuniculus;Luffs Woolworth to the apartmentss;GrufflyFamilialCuniculusAPARTMENTS;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
IngeniouslyAbstergentMinglings;IngeniouslyAbstergentMinglings;Garters Cloven hoof to the caverns;IngeniouslyAbstergentMinglingsCAVERN;STEW,WRITE,RENAME,STROKE,PUNCH
UnchallengeablySpeechEndowedSociologists;UnchallengeablySpeechEndowedSociologists;Chutes Family Pieridae to the treasurys;UnchallengeablySpeechEndowedSociologistsTREASURY;ADJUST,WRITE
VanwardRestrictionSteelheads;VanwardRestrictionSteelheads;Demonises Puppets to the stores;VanwardRestrictionSteelheadsSTORE;LICK,WRITE,RENAME,STROKE,PUNCH
ContumeliouslyBiliousDearness;ContumeliouslyBiliousDearness;Oppresses Tribe Bubalus to the vaults;ContumeliouslyBiliousDearnessVAULT;FONDLE,WRITE,RENAME
LastNotLeastTinglingSaprophytes;LastNotLeastTinglingSaprophytes;Turn-offs Condenser microphone to the safes;LastNotLeastTinglingSaprophytesSAFE;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
FlippantlyBarmyBaboons;FlippantlyBarmyBaboons;Albumenizes Bolters to the mines;FlippantlyBarmyBaboonsMINE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
KinaestheticallyUnfuelledMarinersCompass;KinaestheticallyUnfuelledMarinersCompass;Suffers Simplicity to the chambers;KinaestheticallyUnfuelledMarinersCompassCHAMBER;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
JabberinglyLeastDiarthrosis;JabberinglyLeastDiarthrosis;Votes Verne to the digss;JabberinglyLeastDiarthrosisDIGS;STROKE,WRITE,RENAME
AnalogouslyWhorledDauties;AnalogouslyWhorledDauties;Reduplicates Pentatonic scale to the abodes;AnalogouslyWhorledDautiesABODE;LAUGH,WRITE,RENAME
FeloniouslyHeavyDutyMonotremes;FeloniouslyHeavyDutyMonotremes;Rummages Brume to the depots;FeloniouslyHeavyDutyMonotremesDEPOT;FIST,WRITE,RENAME,STROKE
ChiefImparisyllabicRespiratoryIllness;ChiefImparisyllabicRespiratoryIllness;Circularises Peeresses to the areas;ChiefImparisyllabicRespiratoryIllnessAREA;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
ByWordOfMouthCovetableRibalds;ByWordOfMouthCovetableRibalds;Captivates Glossologist to the closets;ByWordOfMouthCovetableRibaldsCLOSET;STEW,WRITE
ImperceptiblyLosingPotes;ImperceptiblyLosingPotes;Deports Gissing to the storing places;ImperceptiblyLosingPotesSTORING PLACE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
ResonantlyInvariantMannerliness;ResonantlyInvariantMannerliness;Splutters Limousines to the basements;ResonantlyInvariantMannerlinessBASEMENT;EXECUTE
UnrecognisableNeedledSpellbinders;UnrecognisableNeedledSpellbinders;Behoves Herpes simplex 1 to the cellars;UnrecognisableNeedledSpellbindersCELLAR;OBSERVE,WRITE
SelfForgetfullyAgnateRepositions;SelfForgetfullyAgnateRepositions;Laves Brilliance to the burial chambers;SelfForgetfullyAgnateRepositionsBURIAL CHAMBER;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST,LAUGH
AloftFormOnlyYataghans;AloftFormOnlyYataghans;Glimmers Absentee to the accommodations;AloftFormOnlyYataghansACCOMMODATION;ADJUST,WRITE
WordilyVacantPhylloscopus;WordilyVacantPhylloscopus;Engarlands Time-out to the underground chambers;WordilyVacantPhylloscopusUNDERGROUND CHAMBER;OBSERVE,WRITE
MatchlesslyPreliterateWoollyRhinoceros;MatchlesslyPreliterateWoollyRhinoceros;Shut-downs Tracheostomies to the archives;MatchlesslyPreliterateWoollyRhinocerosARCHIVE;STROKE,WRITE,RENAME
ImpregnablyCrustyCables;ImpregnablyCrustyCables;Panegyrizes Electrolytic cell to the mines;ImpregnablyCrustyCablesMINE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
RightlyVerbalAmbries;RightlyVerbalAmbries;Disaffirms Competitions to the suites;RightlyVerbalAmbriesSUITE;PUNCH,WRITE
ImperturbablyAlburnousHypocotyls;ImperturbablyAlburnousHypocotyls;Tuggings Trickishness to the chambers;ImperturbablyAlburnousHypocotylsCHAMBER;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
NoncompetitivelyExclamationalConcocters;NoncompetitivelyExclamationalConcocters;Tallows Kikuyus to the spaces;NoncompetitivelyExclamationalConcoctersSPACE;STEW
BarefootZoochemicalPromenaders;BarefootZoochemicalPromenaders;Reincreases Craniata to the chambers;BarefootZoochemicalPromenadersCHAMBER;FONDLE,WRITE
SloppilySalpiformTigers;SloppilySalpiformTigers;Explodes Ubykh to the lodgingss;SloppilySalpiformTigersLODGINGS;READ,WRITE
SorrowfullyUnstaidAspirations;SorrowfullyUnstaidAspirations;Lines Genus Poephila to the territorys;SorrowfullyUnstaidAspirationsTERRITORY;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
LawfullyBatrachianDurians;LawfullyBatrachianDurians;Reassures Trainee to the storehouses;LawfullyBatrachianDuriansSTOREHOUSE;ADJUST,WRITE,RENAME,STROKE,PUNCH
ContemptuouslyUnturningGenusEdmontosaurus;ContemptuouslyUnturningGenusEdmontosaurus;Clusters Tumour necrosis factor to the treasures;ContemptuouslyUnturningGenusEdmontosaurusTREASURE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
ReticentlyMoanfulBuncos;ReticentlyMoanfulBuncos;Unrealizes Felled seam to the accommodations;ReticentlyMoanfulBuncosACCOMMODATION;PUNCH,WRITE,RENAME
UncontroversiallyPrecessionalCalamancos;UncontroversiallyPrecessionalCalamancos;Decolonizes Electrophysiology to the depositorys;UncontroversiallyPrecessionalCalamancosDEPOSITORY;FIST,WRITE,RENAME,STROKE
AbashedlyTwelveDizziness;AbashedlyTwelveDizziness;Prepossess Actus reus to the undercrofts;AbashedlyTwelveDizzinessUNDERCROFT;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
FiscallyUnownedCroakiness;FiscallyUnownedCroakiness;Scutches Cadency to the caches;FiscallyUnownedCroakinessCACHE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
HypotheticallyChunderousExcisions;HypotheticallyChunderousExcisions;Overcasts Gecko to the crypts;HypotheticallyChunderousExcisionsCRYPT;EXECUTE,WRITE,RENAME,STROKE
ShadilyBerrylikeMisalliances;ShadilyBerrylikeMisalliances;Subs Tour de force to the chambers;ShadilyBerrylikeMisalliancesCHAMBER;OBSERVE,WRITE,RENAME,STROKE
FirmAggravatingHarvests;FirmAggravatingHarvests;Gratulates Eyesight to the vaults;FirmAggravatingHarvestsVAULT;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
NoblyDiffusedSquashRackets;NoblyDiffusedSquashRackets;Cuckolds Rationalization to the storing places;NoblyDiffusedSquashRacketsSTORING PLACE;ADJUST,WRITE,RENAME
SlothfullyLowerCaseGenusHimantopus;SlothfullyLowerCaseGenusHimantopus;Disjects Shetland sheep dog to the safe deposits;SlothfullyLowerCaseGenusHimantopusSAFE DEPOSIT;LICK
ScandalouslyDenigratingBattleOfLuleBurgas;ScandalouslyDenigratingBattleOfLuleBurgas;Legalises Phototelegraph to the treasurys;ScandalouslyDenigratingBattleOfLuleBurgasTREASURY;FONDLE,WRITE,RENAME,STROKE,PUNCH
BeliveThievingGlandules;BeliveThievingGlandules;Reacts Tacklers to the rooms;BeliveThievingGlandulesROOM;LICK
HeadOverHeelsStatisticalSeamers;HeadOverHeelsStatisticalSeamers;Reblooms Electrocution to the suites;HeadOverHeelsStatisticalSeamersSUITE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
RamblinglyIgnitedOdours;RamblinglyIgnitedOdours;Stots Salvers to the containers;RamblinglyIgnitedOdoursCONTAINER;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
UnthriftilyApocryphalRacehorses;UnthriftilyApocryphalRacehorses;Aliens Philosophers to the billets;UnthriftilyApocryphalRacehorsesBILLET;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
KinglyUncoSaigas;KinglyUncoSaigas;Interweaves Fotheringhay to the containers;KinglyUncoSaigasCONTAINER;FIST,WRITE,RENAME,STROKE,PUNCH
AjeeUncitedChippewas;AjeeUncitedChippewas;Flounders Maltase to the abodes;AjeeUncitedChippewasABODE;FONDLE
AlluringlyIchthyoliticTelevisions;AlluringlyIchthyoliticTelevisions;Postures Torsks to the depots;AlluringlyIchthyoliticTelevisionsDEPOT;STEW,WRITE,RENAME
PlenarilySaltishIotas;PlenarilySaltishIotas;Press-gangs Poulet to the digss;PlenarilySaltishIotasDIGS;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
ContinuouslyObtectOrderTrogoniformes;ContinuouslyObtectOrderTrogoniformes;Peculiarises Ingrains to the catacombs;ContinuouslyObtectOrderTrogoniformesCATACOMB;PUNCH,WRITE,RENAME
ConnubialFlattenedLutjanusApodus;ConnubialFlattenedLutjanusApodus;Vandalizes Styx to the safe deposits;ConnubialFlattenedLutjanusApodusSAFE DEPOSIT;STEW,WRITE,RENAME,STROKE
ToBootAbruptImagos;ToBootAbruptImagos;Accustoms Lodgement to the places;ToBootAbruptImagosPLACE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
EcclesiasticallyScrawlyAnklets;EcclesiasticallyScrawlyAnklets;Manducates Beer mat to the rooms;EcclesiasticallyScrawlyAnkletsROOM;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
ContractuallyRetentiveChairladies;ContractuallyRetentiveChairladies;Fossilizes Domed stadium to the places;ContractuallyRetentiveChairladiesPLACE;EXECUTE,WRITE,RENAME,STROKE,PUNCH
SeawardsLikeMindedHitchHikers;SeawardsLikeMindedHitchHikers;Speckles Euglenophyta to the accommodations;SeawardsLikeMindedHitchHikersACCOMMODATION;FIST,WRITE
TransparentlyBrotherlikeMatiness;TransparentlyBrotherlikeMatiness;Buttress Sips to the repertorys;TransparentlyBrotherlikeMatinessREPERTORY;EXECUTE
SmartAnticlinalPlaybacks;SmartAnticlinalPlaybacks;Deepens Extremes to the archives;SmartAnticlinalPlaybacksARCHIVE;STROKE,WRITE,RENAME
RakishlySweatiestOmers;RakishlySweatiestOmers;Traipsings Knotting to the caches;RakishlySweatiestOmersCACHE;READ,WRITE,RENAME,STROKE,PUNCH
DubitativelyUnbesoughtAndrocles;DubitativelyUnbesoughtAndrocles;Averts Craniate to the mines;DubitativelyUnbesoughtAndroclesMINE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
ThreefoldUtopianAltimeters;ThreefoldUtopianAltimeters;Predigests Insalivation to the volumes;ThreefoldUtopianAltimetersVOLUME;OBSERVE,WRITE
ResonantlyUnlikeableBrittleStars;ResonantlyUnlikeableBrittleStars;Entrains Worldliness to the underground chambers;ResonantlyUnlikeableBrittleStarsUNDERGROUND CHAMBER;OBSERVE,WRITE,RENAME
SillilyPricklingDanglings;SillilyPricklingDanglings;Cons Houdini to the treasurys;SillilyPricklingDanglingsTREASURY;EXECUTE,WRITE
AllOverPausefulSarongs;AllOverPausefulSarongs;Hang-glides Hamzas to the storerooms;AllOverPausefulSarongsSTOREROOM;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
AgriculturallySingleEntryDistillates;AgriculturallySingleEntryDistillates;Close-ups Training to the chambers;AgriculturallySingleEntryDistillatesCHAMBER;READ
ImmortallyEloquentChases;ImmortallyEloquentChases;Carpets Prodders to the areas;ImmortallyEloquentChasesAREA;EXECUTE,WRITE
HorrifyinglyFrontRankEringos;HorrifyinglyFrontRankEringos;Outbraves Sorriness to the sepulchres;HorrifyinglyFrontRankEringosSEPULCHRE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
ErenowAvengedStables;ErenowAvengedStables;Interrogates Dionysus to the storing places;ErenowAvengedStablesSTORING PLACE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
AcquisitivelyPleuriticCopts;AcquisitivelyPleuriticCopts;Outnumbers Dumpy level to the archives;AcquisitivelyPleuriticCoptsARCHIVE;LICK,WRITE
SelfDenyinglyComplicateTallyshops;SelfDenyinglyComplicateTallyshops;Dishes Opus to the undercrofts;SelfDenyinglyComplicateTallyshopsUNDERCROFT;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
SubmissivelyGoAsYouPleasePollacks;SubmissivelyGoAsYouPleasePollacks;Swears Chargeableness to the banks;SubmissivelyGoAsYouPleasePollacksBANK;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
EndurablyClarifyingSyngenesis;EndurablyClarifyingSyngenesis;Decommissions Pasteurizers to the repositorys;EndurablyClarifyingSyngenesisREPOSITORY;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
AnyplaceJokingAerolites;AnyplaceJokingAerolites;Terrifies Tachylite to the chambers;AnyplaceJokingAerolitesCHAMBER;READ,WRITE
ConcurrentlyTactlessWharfs;ConcurrentlyTactlessWharfs;Dewaters Crenel to the places;ConcurrentlyTactlessWharfsPLACE;LICK,WRITE,RENAME,STROKE,PUNCH
CrosswiseGranitoidValorisations;CrosswiseGranitoidValorisations;Pods Personalties to the quarterss;CrosswiseGranitoidValorisationsQUARTERS;WRITE
PalatiallySluggishRentes;PalatiallySluggishRentes;Oxidizes Rhode Island red to the underground chambers;PalatiallySluggishRentesUNDERGROUND CHAMBER;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
InharmoniouslyAcquirableSortitions;InharmoniouslyAcquirableSortitions;Tickles Scamper to the cellars;InharmoniouslyAcquirableSortitionsCELLAR;LICK
StoutlyAbaxialPatriarchalCross;StoutlyAbaxialPatriarchalCross;Acetifies Cash to the depots;StoutlyAbaxialPatriarchalCrossDEPOT;READ,WRITE,RENAME,STROKE,PUNCH
MatrilineallyRedheadedGalliambics;MatrilineallyRedheadedGalliambics;Garrisons Overhand pitch to the safes;MatrilineallyRedheadedGalliambicsSAFE;STEW,WRITE,RENAME
ExtortionatelyNeighbouringOwlishness;ExtortionatelyNeighbouringOwlishness;Manoeuvres Memory cache to the burial chambers;ExtortionatelyNeighbouringOwlishnessBURIAL CHAMBER;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
StraightOffBehaviouristSiamangs;StraightOffBehaviouristSiamangs;Conspires T'ai chi chuan to the receptacles;StraightOffBehaviouristSiamangsRECEPTACLE;LICK,WRITE,RENAME
ConjointlyCimmerianNines;ConjointlyCimmerianNines;Havocs Megatons to the rooms;ConjointlyCimmerianNinesROOM;FIST,WRITE,RENAME
ExtemporeSaurianSkaters;ExtemporeSaurianSkaters;Forehands Sunbelt to the repositorys;ExtemporeSaurianSkatersREPOSITORY;READ,WRITE
EthnicallyFulaniSatanists;EthnicallyFulaniSatanists;Tergiversates Chairladies to the crypts;EthnicallyFulaniSatanistsCRYPT;EXECUTE,WRITE
PervasivelyVaticNotechis;PervasivelyVaticNotechis;Probates Substituting to the caches;PervasivelyVaticNotechisCACHE;RENAME
ElectronicallyNonbiologicalBulrushes;ElectronicallyNonbiologicalBulrushes;Ingratiates Pizza shop to the scopes;ElectronicallyNonbiologicalBulrushesSCOPE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
FumblinglyPenicillateArtiodactyls;FumblinglyPenicillateArtiodactyls;Impetrates Saltires to the storerooms;FumblinglyPenicillateArtiodactylsSTOREROOM;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
StablyHairiestBrewers;StablyHairiestBrewers;Besmirches Tinnituses to the undercrofts;StablyHairiestBrewersUNDERCROFT;LICK,WRITE,RENAME
ImpermanentlyEmendatoryBacons;ImpermanentlyEmendatoryBacons;Outspreads Asphyxiants to the storehouses;ImpermanentlyEmendatoryBaconsSTOREHOUSE;STEW,WRITE
AlikeSpinyEdgedBoobies;AlikeSpinyEdgedBoobies;Signals Poppies to the crypts;AlikeSpinyEdgedBoobiesCRYPT;STEW,WRITE,RENAME
AgroundUnexaminedTherms;AgroundUnexaminedTherms;Trivializes Laudableness to the sepulchres;AgroundUnexaminedThermsSEPULCHRE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE
EthnicallyCryptonymousGongs;EthnicallyCryptonymousGongs;Imperializes Drum roll to the crypts;EthnicallyCryptonymousGongsCRYPT;LAUGH,WRITE,RENAME,STROKE,PUNCH
AvailinglySpheruliticEnergisers;AvailinglySpheruliticEnergisers;Accumulates Marrow to the depositorys;AvailinglySpheruliticEnergisersDEPOSITORY;FONDLE,WRITE,RENAME
LonginglyAgonalProstatitis;LonginglyAgonalProstatitis;Beseems Dylan to the places;LonginglyAgonalProstatitisPLACE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE
EtAlSteelyScrutineers;EtAlSteelyScrutineers;Flares Epigraphy to the stores;EtAlSteelyScrutineersSTORE;FONDLE,WRITE
AngerlyCabbalisticXiphias;AngerlyCabbalisticXiphias;Outdates Waken to the billets;AngerlyCabbalisticXiphiasBILLET;OBSERVE,WRITE,RENAME,STROKE,PUNCH
PermanentlyApperceptiveAristippus;PermanentlyApperceptiveAristippus;Reconnects Charta to the safes;PermanentlyApperceptiveAristippusSAFE;READ,WRITE,RENAME,STROKE,PUNCH
AtAllAnarthrousCerates;AtAllAnarthrousCerates;Cock-ups Versicle to the digss;AtAllAnarthrousCeratesDIGS;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
UnnoticeablyTipUpTheriomorphs;UnnoticeablyTipUpTheriomorphs;Lathers Geomorphologist to the areas;UnnoticeablyTipUpTheriomorphsAREA;LAUGH,WRITE,RENAME
ErringlyInterdepartmentalCentralisations;ErringlyInterdepartmentalCentralisations;Ingots Eighteen to the safe deposits;ErringlyInterdepartmentalCentralisationsSAFE DEPOSIT;STEW
TriballyCrumbyMandolins;TriballyCrumbyMandolins;Resorts Percy to the caverns;TriballyCrumbyMandolinsCAVERN;LICK
AnticipativelyOverweightCynocephalusVariegatus;AnticipativelyOverweightCynocephalusVariegatus;Crushes Unveilings to the closets;AnticipativelyOverweightCynocephalusVariegatusCLOSET;RENAME
CrispilyJestingPeerlessness;CrispilyJestingPeerlessness;Intones Bodo-Garo to the depositorys;CrispilyJestingPeerlessnessDEPOSITORY;FIST,WRITE
LosinglyTatarianGenusPezophaps;LosinglyTatarianGenusPezophaps;Waffs Relier to the undercrofts;LosinglyTatarianGenusPezophapsUNDERCROFT;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE
StoopinglyVirtuosityApaches;StoopinglyVirtuosityApaches;Shares Lilac to the quarterss;StoopinglyVirtuosityApachesQUARTERS;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
AsLuckWouldHaveItBigNameXenophobes;AsLuckWouldHaveItBigNameXenophobes;Lampoons European brown bat to the digss;AsLuckWouldHaveItBigNameXenophobesDIGS;READ,WRITE,RENAME
LangSyneSkewAutoclaves;LangSyneSkewAutoclaves;Cuirasses Chests to the treasure troves;LangSyneSkewAutoclavesTREASURE TROVE;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
ConnubialFlattenedLutjanusApodus;ConnubialFlattenedLutjanusApodus;Fools Reproval to the funds;ConnubialFlattenedLutjanusApodusFUND;LAUGH,WRITE
BinocularlyFarinoseFrogmarches;BinocularlyFarinoseFrogmarches;Lowers Fumitories to the storerooms;BinocularlyFarinoseFrogmarchesSTOREROOM;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
CogentlySmallTimeHydrotaxis;CogentlySmallTimeHydrotaxis;Bachs Wristlets to the closets;CogentlySmallTimeHydrotaxisCLOSET;READ,WRITE
NotByALongSightPareciousDeciles;NotByALongSightPareciousDeciles;Bituminizes Dices to the depots;NotByALongSightPareciousDecilesDEPOT;LICK,WRITE,RENAME
NosilySubculturalParalichthys;NosilySubculturalParalichthys;Incenses Monodrama to the abodes;NosilySubculturalParalichthysABODE;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
KnowledgeablyGeophilousCheeseparers;KnowledgeablyGeophilousCheeseparers;Familiarises Biochemists to the areas;KnowledgeablyGeophilousCheeseparersAREA;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
SpiritosoChurchlyPrimes;SpiritosoChurchlyPrimes;Worsens Revolutionary United Front to the mines;SpiritosoChurchlyPrimesMINE;READ,WRITE,RENAME,STROKE,PUNCH
DauntlesslySorediateVespulaVulgaris;DauntlesslySorediateVespulaVulgaris;Clokes Figurantes to the stores;DauntlesslySorediateVespulaVulgarisSTORE;ADJUST,WRITE,RENAME,STROKE
EnRouteSlaughterousHeresies;EnRouteSlaughterousHeresies;Gold-plates Vinegar fly to the containers;EnRouteSlaughterousHeresiesCONTAINER;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
AportWellBoundFractionations;AportWellBoundFractionations;Oxidises Cf to the receptacles;AportWellBoundFractionationsRECEPTACLE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
PunctuallySyncarpousSyllogisms;PunctuallySyncarpousSyllogisms;Initials Mythologist to the quarterss;PunctuallySyncarpousSyllogismsQUARTERS;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
ForInstancePinnedMetamathematics;ForInstancePinnedMetamathematics;Hares Poly to the expanses;ForInstancePinnedMetamathematicsEXPANSE;STROKE
SillilyPridelessSwears;SillilyPridelessSwears;Paints Uredium to the safe deposits;SillilyPridelessSwearsSAFE DEPOSIT;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
SoFarVoidCattalos;SoFarVoidCattalos;Calibrates Crepehanger to the repertorys;SoFarVoidCattalosREPERTORY;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
SuddenLiassicRingleaders;SuddenLiassicRingleaders;Deifies Snowbush to the safes;SuddenLiassicRingleadersSAFE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
